"Address","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Indexability","Indexability Status"
"https://www.lifeusa.org/media","180","31","5.806","34.561","Hard","Indexable",""
"https://www.lifeusa.org/post/children-in-crisis-the-psychological-toll-of-violence","1206","158","7.633","39.638","Hard","Indexable",""
"https://www.lifeusa.org/post/health-for-all-how-life-is-closing-the-global-healthcare-gap","1149","221","5.199","35.966","Hard","Indexable",""
"https://www.lifeusa.org/post/as-middle-east-tensions-rise-families-face-uncertainty-and-compassion-matters-more","792","116","6.828","42.135","Hard","Indexable",""
"https://www.lifeusa.org/post/the-challenges-humanitarian-organizations-face-after-conflict-ends","1799","260","6.919","36.678","Hard","Indexable",""
"https://www.lifeusa.org/post/life-for-relief-and-development-life-usa-restores-shelter-and-safety-for-8-050-displaced-individua","288","45","6.400","40.833","Hard","Indexable",""
"https://www.lifeusa.org/post/life-provides-medical-student-scholarships-in-the-west-bank","392","55","7.127","33.422","Hard","Indexable",""
"https://www.lifeusa.org/post/life-for-relief-and-development-sustains-higher-education-in-syria","514","75","6.853","30.679","Hard","Indexable",""
"https://www.lifeusa.org/post/life-for-relief-and-development-life-delivers-emergency-food-and-water-assistance-in-gaza-through","510","70","7.286","46.496","Hard","Indexable",""
"https://www.lifeusa.org/post/the-crucial-role-of-humanitarian-organizations-in-conflict-zones","1817","246","7.386","34.096","Hard","Indexable",""
"https://www.lifeusa.org/post/life-s-education-initiatives-in-syria-generate-positive-outcomes-in-enrollment-and-graduation-rate-t","920","130","7.077","42.406","Hard","Indexable",""
