"Address","Occurrences","H1-1","H1-1 Length","H1-2","H1-2 Length","Indexability","Indexability Status"
"https://www.lifeusa.org/","4","First on the ground, LIFE is there when emergencies strike. Providing essential aid when and where it is needed. Easing suffering, and saving lives.","148","Orphan sponsorship gives vulnerable children security. With their basic needs met, children can focus on learning, growing and being a child.","141","Indexable",""
"https://www.lifeusa.org/get-involved","6","Contribute Courageously","23","Making a Difference in the World Starts With Each One of Us","59","Indexable",""
"https://www.lifeusa.org/about","1","Where there is LIFE, there is Hope.","35","","0","Indexable",""
"https://donate.lifeusa.org/donorportal/gaza-relief","5","GAZA CRISIS","11","GAZA TENT PROJECT","17","Indexable",""
"https://donate.lifeusa.org/donorportal/udhiyah","3","Udhiya/Qurbani (Goat)","21","Udhiya/Qurbani (Sheep)","22","Indexable",""
"https://www.lifeusa.org/volunteer","5","What we contribute gives meaning to our lives.","46","The Heart of Our Charity - Our Volunteers","41","Indexable",""
"https://www.lifeusa.org/careers","4","What we contribute gives meaning to our lives.","46","We Are a Team","13","Indexable",""
"https://www.lifeusa.org/fundraising","6","Creating a ripple of positivity that spreads far and wide.","58","More Then Fundraising","21","Indexable",""
"https://www.lifeusa.org/legacy","2","Create Your Legacy with LIFE","28","For years, our mission has been to make a difference. Today, we invite you to join us in ensuring that our impact continues for generations to come. By including LIFE in your will or estate plan, you're not just donating; you're leaving a legacy of hope, compassion, and transformation. With our shared vision for a better future, LIFE has partnered with Freewill.com to make the process of planned giving even simpler for you. Now, you can ensure your lasting impact seamlessly through an intuitive and legally sound platform.","527","Indexable",""
"https://donate.lifeusa.org/donorportal/seasonal-designations","20","GENERAL DONATION","16","ZAKAT AL-MAL (Annual Obligatory Charity)","40","Indexable",""
