"Source","Destination","Alt Text"
"https://donate.lifeusa.org/donorportal/login","https://analytics.twitter.com/1/i/adsct?bci=4&dv=UTC%26en-US%26Google%20Inc.%26Linux%20x86_64%26255%26800%26600%2696%2624%26800%26600%260%26na&eci=3&event={}&event_id=0b0a544a-9129-4aaa-834b-ec6d02e5a9b3&integration=advertiser&p_id=Twitter&p_user_id=0&pl_id=5ef90ed9-6b2c-49d6-8b5d-f5019681ff72&pt=Login&tw_document_href=https%3A%2F%2Fdonate.lifeusa.org%2Fdonorportal%2Flogin&tw_iframe_status=0&tw_pid_src=1&twpid=tw.1777812700168.640236149123798650&txn_id=ok5cx&type=javascript&version=2.3.53",""
"https://donate.lifeusa.org/donorportal/login","https://t.co/1/i/adsct?bci=4&dv=UTC%26en-US%26Google%20Inc.%26Linux%20x86_64%26255%26800%26600%2696%2624%26800%26600%260%26na&eci=3&event={}&event_id=0b0a544a-9129-4aaa-834b-ec6d02e5a9b3&integration=advertiser&p_id=Twitter&p_user_id=0&pl_id=5ef90ed9-6b2c-49d6-8b5d-f5019681ff72&pt=Login&tw_document_href=https%3A%2F%2Fdonate.lifeusa.org%2Fdonorportal%2Flogin&tw_iframe_status=0&tw_pid_src=1&twpid=tw.1777812700168.640236149123798650&txn_id=ok5cx&type=javascript&version=2.3.53",""
"https://donate.lifeusa.org/donorportal/?donate=true","https://t.co/1/i/adsct?bci=4&dv=UTC%26en-US%26Google%20Inc.%26Linux%20x86_64%26255%26800%26600%2696%2624%26800%26600%260%26na&eci=3&event={}&event_id=5dd61df5-f284-4683-b765-eed37570e556&integration=advertiser&p_id=Twitter&p_user_id=0&pl_id=0974c2f2-43f5-4ef0-9f83-33b6d94e2c76&pt=Home&tw_document_href=https%3A%2F%2Fdonate.lifeusa.org%2Fdonorportal%2F&tw_iframe_status=0&tw_pid_src=1&twpid=tw.1777313914502.140692464688303667&txn_id=ok5cx&type=javascript&version=2.3.53",""
"https://donate.lifeusa.org/donorportal/?donate=true","https://analytics.twitter.com/1/i/adsct?bci=4&dv=UTC%26en-US%26Google%20Inc.%26Linux%20x86_64%26255%26800%26600%2696%2624%26800%26600%260%26na&eci=3&event={}&event_id=5dd61df5-f284-4683-b765-eed37570e556&integration=advertiser&p_id=Twitter&p_user_id=0&pl_id=0974c2f2-43f5-4ef0-9f83-33b6d94e2c76&pt=Home&tw_document_href=https%3A%2F%2Fdonate.lifeusa.org%2Fdonorportal%2F&tw_iframe_status=0&tw_pid_src=1&twpid=tw.1777313914502.140692464688303667&txn_id=ok5cx&type=javascript&version=2.3.53",""
"https://donate.lifeusa.org/donorportal/udhiyah","https://analytics.twitter.com/1/i/adsct?bci=4&dv=UTC%26en-US%26Google%20Inc.%26Linux%20x86_64%26255%26800%26600%2696%2624%26800%26600%260%26na&eci=3&event={}&event_id=96753833-a4f1-44f7-9f6e-8afc01863ff6&integration=advertiser&p_id=Twitter&p_user_id=0&pl_id=cff3262f-a3c9-41ff-8a9a-488c74fbdb83&pt=Udhiyah&tw_document_href=https%3A%2F%2Fdonate.lifeusa.org%2Fdonorportal%2Fudhiyah&tw_iframe_status=0&tw_pid_src=1&twpid=tw.1778030425108.316371120632805569&txn_id=ok5cx&type=javascript&version=2.3.53",""
"https://donate.lifeusa.org/donorportal/udhiyah","https://t.co/1/i/adsct?bci=4&dv=UTC%26en-US%26Google%20Inc.%26Linux%20x86_64%26255%26800%26600%2696%2624%26800%26600%260%26na&eci=3&event={}&event_id=96753833-a4f1-44f7-9f6e-8afc01863ff6&integration=advertiser&p_id=Twitter&p_user_id=0&pl_id=cff3262f-a3c9-41ff-8a9a-488c74fbdb83&pt=Udhiyah&tw_document_href=https%3A%2F%2Fdonate.lifeusa.org%2Fdonorportal%2Fudhiyah&tw_iframe_status=0&tw_pid_src=1&twpid=tw.1778030425108.316371120632805569&txn_id=ok5cx&type=javascript&version=2.3.53",""
"https://donate.lifeusa.org/donorportal/gaza-relief","https://t.co/1/i/adsct?bci=4&dv=UTC%26en-US%26Google%20Inc.%26Linux%20x86_64%26255%26800%26600%2696%2624%26800%26600%260%26na&eci=3&event={}&event_id=3f44cac4-fd7b-477a-946c-4462532c7cd5&integration=advertiser&p_id=Twitter&p_user_id=0&pl_id=0089bd57-cbe1-4eef-a4e7-26416179549d&pt=Gaza%20Relief&tw_document_href=https%3A%2F%2Fdonate.lifeusa.org%2Fdonorportal%2Fgaza-relief&tw_iframe_status=0&tw_pid_src=1&twpid=tw.1777182342443.570718514115586873&txn_id=ok5cx&type=javascript&version=2.3.53",""
"https://donate.lifeusa.org/donorportal/gaza-relief","https://analytics.twitter.com/1/i/adsct?bci=4&dv=UTC%26en-US%26Google%20Inc.%26Linux%20x86_64%26255%26800%26600%2696%2624%26800%26600%260%26na&eci=3&event={}&event_id=3f44cac4-fd7b-477a-946c-4462532c7cd5&integration=advertiser&p_id=Twitter&p_user_id=0&pl_id=0089bd57-cbe1-4eef-a4e7-26416179549d&pt=Gaza%20Relief&tw_document_href=https%3A%2F%2Fdonate.lifeusa.org%2Fdonorportal%2Fgaza-relief&tw_iframe_status=0&tw_pid_src=1&twpid=tw.1777182342443.570718514115586873&txn_id=ok5cx&type=javascript&version=2.3.53",""
"https://donate.lifeusa.org/donorportal/emergency-relief?EmergencyReliefProgram=11WVy000001QlE2MAK","https://t.co/1/i/adsct?bci=4&dv=UTC%26en-US%26Google%20Inc.%26Linux%20x86_64%26255%26800%26600%2696%2624%26800%26600%260%26na&eci=3&event={}&event_id=4ebcb137-17c3-4c7a-bf74-ceea1310a7da&integration=advertiser&p_id=Twitter&p_user_id=0&pl_id=d4eeb144-a5fc-4969-b174-ee92fb26041f&pt=Emergency%20Relief&tw_document_href=https%3A%2F%2Fdonate.lifeusa.org%2Fdonorportal%2Femergency-relief&tw_iframe_status=0&tw_pid_src=1&twpid=tw.1778101341785.874576261321967148&txn_id=ok5cx&type=javascript&version=2.3.53",""
"https://donate.lifeusa.org/donorportal/emergency-relief?EmergencyReliefProgram=11WVy000001QlE2MAK","https://analytics.twitter.com/1/i/adsct?bci=4&dv=UTC%26en-US%26Google%20Inc.%26Linux%20x86_64%26255%26800%26600%2696%2624%26800%26600%260%26na&eci=3&event={}&event_id=4ebcb137-17c3-4c7a-bf74-ceea1310a7da&integration=advertiser&p_id=Twitter&p_user_id=0&pl_id=d4eeb144-a5fc-4969-b174-ee92fb26041f&pt=Emergency%20Relief&tw_document_href=https%3A%2F%2Fdonate.lifeusa.org%2Fdonorportal%2Femergency-relief&tw_iframe_status=0&tw_pid_src=1&twpid=tw.1778101341785.874576261321967148&txn_id=ok5cx&type=javascript&version=2.3.53",""
