"Type","Source","Destination","Size (Bytes)"
"Image","https://www.lifeusa.org/","https://static.wixstatic.com/media/6df904_1a8d057726e3438c8b4a3f1312f00b60~mv2.png/v1/fill/w_980,h_217,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/6df904_1a8d057726e3438c8b4a3f1312f00b60~mv2.png","372614"
"Image","https://www.lifeusa.org/","https://static.wixstatic.com/media/6df904_56bae0daca894748954c5d479a52f0c8~mv2.png/v1/fill/w_980,h_217,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/6df904_56bae0daca894748954c5d479a52f0c8~mv2.png","549183"
"Image","https://www.lifeusa.org/","https://static.wixstatic.com/media/6df904_56bae0daca894748954c5d479a52f0c8~mv2.png/v1/fill/w_980,h_217,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/6df904_56bae0daca894748954c5d479a52f0c8~mv2.png","549183"
"Image","https://www.lifeusa.org/","https://static.wixstatic.com/media/6df904_4f8fdc48193442ba868715b9c98d9cd8~mv2.jpg/v1/crop/x_647,y_0,w_950,h_1236/fill/w_461,h_600,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/somal.jpg","135096"
"Image","https://www.lifeusa.org/","https://static.wixstatic.com/media/6df904_5f47e8f8d7e4434888883330b7f7cb57~mv2.png/v1/fill/w_980,h_217,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/6df904_5f47e8f8d7e4434888883330b7f7cb57~mv2.png","437249"
"Image","https://www.lifeusa.org/","https://static.wixstatic.com/media/6df904_b89658f93f7d435b81bb92f57a906506~mv2.png/v1/fill/w_146,h_260,q_90,enc_avif,quality_auto/6df904_b89658f93f7d435b81bb92f57a906506~mv2.png","105031"
"Image","https://www.lifeusa.org/","https://static.wixstatic.com/media/799a91_92467a46d0f74e4e9f5769b4800fc578~mv2.png/v1/fill/w_500,h_500,al_c,q_85,enc_avif,quality_auto/799a91_92467a46d0f74e4e9f5769b4800fc578~mv2.png","145306"
"Image","https://www.lifeusa.org/","https://static.wixstatic.com/media/799a91_92467a46d0f74e4e9f5769b4800fc578~mv2.png/v1/fill/w_500,h_500,al_c,q_85,enc_avif,quality_auto/799a91_92467a46d0f74e4e9f5769b4800fc578~mv2.png","145306"
"Image","https://www.lifeusa.org/about","https://static.wixstatic.com/media/799a91_92467a46d0f74e4e9f5769b4800fc578~mv2.png/v1/fill/w_500,h_500,al_c,q_85,enc_avif,quality_auto/799a91_92467a46d0f74e4e9f5769b4800fc578~mv2.png","145306"
"Image","https://www.lifeusa.org/about","https://static.wixstatic.com/media/799a91_92467a46d0f74e4e9f5769b4800fc578~mv2.png/v1/fill/w_500,h_500,al_c,q_85,enc_avif,quality_auto/799a91_92467a46d0f74e4e9f5769b4800fc578~mv2.png","145306"
"Image","https://www.lifeusa.org/","https://static.wixstatic.com/media/6df904_992d8e298816430b8a47cb179a437511~mv2.jpg/v1/crop/x_206,y_0,w_1494,h_1944/fill/w_461,h_600,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/DJI_0890_edited.jpg","200254"
"Image","https://www.lifeusa.org/","https://static.wixstatic.com/media/6df904_06d554234cb343a28552a9594074712c~mv2.jpg/v1/crop/x_310,y_0,w_1236,h_1236/fill/w_542,h_542,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/93de3ffb-1db5-4e0a-acdc-a23bb68f4e6a.jpg","113299"
"Image","https://www.lifeusa.org/get-involved","https://static.wixstatic.com/media/c1c8c5_41934d34597c4806bd77a6b338922e9c~mv2.jpg/v1/fill/w_932,h_621,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/c1c8c5_41934d34597c4806bd77a6b338922e9c~mv2.jpg","139587"
"Image","https://www.lifeusa.org/get-involved","https://static.wixstatic.com/media/6df904_3049f5431dde40f9b66ce08c756bba9f~mv2.png/v1/crop/x_20,y_0,w_830,h_553/fill/w_356,h_237,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/image.png","232479"
"Image","https://www.lifeusa.org/get-involved","https://static.wixstatic.com/media/6df904_4e2cdf1ec7804660bfb9e36ef37c68ef~mv2.png/v1/crop/x_83,y_0,w_826,h_550/fill/w_356,h_237,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/image.png","218730"
"Image","https://www.lifeusa.org/about","https://static.wixstatic.com/media/c1c8c5_608bf321374f4a45a70d13842aa39aea~mv2.jpg/v1/fill/w_957,h_639,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/c1c8c5_608bf321374f4a45a70d13842aa39aea~mv2.jpg","212081"
