"Type","Source","Destination","Alt Text","Length"
"Image","https://www.lifeusa.org/blogs","https://static.wixstatic.com/media/74d008_39a6fc8bc8b94d9b99452850a9f11aea~mv2.jpg/v1/fill/w_315,h_236,fp_0.50_0.50,q_90,enc_avif,quality_auto/74d008_39a6fc8bc8b94d9b99452850a9f11aea~mv2.webp","Photo of a boy holding a portion of fresh meat from one of Life for Relief and Development's (LIFE) USA Udhiyah/Qurbani distributions.","134"
"Image","https://www.lifeusa.org/blogs","https://static.wixstatic.com/media/74d008_23104e66d3b14b7c98f45f1292b0982e~mv2.jpg/v1/fill/w_314,h_236,fp_0.50_0.50,q_90,enc_avif,quality_auto/74d008_23104e66d3b14b7c98f45f1292b0982e~mv2.webp","Double or Triple Your Donation Without Spending More Through Life for Relief and Development (LIFE) Matching Gift Program","121"
"Image","https://www.lifeusa.org/post/children-in-crisis-the-psychological-toll-of-violence","https://static.wixstatic.com/media/74d008_9a7e4a9d90134a8daf0aed33aacb4f0d~mv2.jpg/v1/fill/w_980,h_735,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/74d008_9a7e4a9d90134a8daf0aed33aacb4f0d~mv2.jpg","Photo of a Life for Relief and Development (LIFE) team member and a young girl smiling together, giving a thumbs up. ","117"
"Image","https://www.lifeusa.org/post/children-in-crisis-the-psychological-toll-of-violence","https://static.wixstatic.com/media/74d008_e2c52b693ea94adda076cb7eaa2de49e~mv2.jpg/v1/fill/w_980,h_735,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/74d008_e2c52b693ea94adda076cb7eaa2de49e~mv2.jpg","Photo of the entertainment at the Life for Relief and Development (LIFE) Global Orphan Eid Party in Gaza. ","106"
"Image","https://www.lifeusa.org/post/children-in-crisis-the-psychological-toll-of-violence","https://static.wixstatic.com/media/74d008_5608775458d842979bcc218cbde6f0df~mv2.jpg/v1/fill/w_980,h_735,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/74d008_5608775458d842979bcc218cbde6f0df~mv2.jpg","Photo of children enjoying the Life for Relief and Development (LIFE) Global Orphan Eid Party in Gaza. ","103"
"Image","https://www.lifeusa.org/post/children-in-crisis-the-psychological-toll-of-violence","https://static.wixstatic.com/media/74d008_3cd2291aa32e4e25ab6948041af19b96~mv2.jpg/v1/fill/w_980,h_652,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/74d008_3cd2291aa32e4e25ab6948041af19b96~mv2.jpg","Photo of a young girl receiving a gift at the Life for Relief and Development (LIFE) Global Orphan Eid party in Jordan. ","120"
"Image","https://www.lifeusa.org/post/the-world-keeps-making-more-plastic-and-the-cost-is-human","https://static.wixstatic.com/media/74d008_6cb80cf314e54adb9b980605199e5346~mv2.jpg/v1/fill/w_980,h_653,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/74d008_6cb80cf314e54adb9b980605199e5346~mv2.jpg","Photo of children receiving backpacks filled with school supplies as a part of Life for Relief and Development's Back to School program. ","137"
"Image","https://www.lifeusa.org/blogs","https://static.wixstatic.com/media/74d008_23104e66d3b14b7c98f45f1292b0982e~mv2.jpg/v1/fill/w_333,h_250,fp_0.50_0.50,q_30,blur_30,enc_avif,quality_auto/74d008_23104e66d3b14b7c98f45f1292b0982e~mv2.webp","Double or Triple Your Donation Without Spending More Through Life for Relief and Development (LIFE) Matching Gift Program","121"
"Image","https://www.lifeusa.org/blogs","https://static.wixstatic.com/media/74d008_1eb0bed6d1944db293b00b4a6fa835cd~mv2.jpg/v1/fill/w_333,h_250,fp_0.50_0.50,q_30,blur_30,enc_avif,quality_auto/74d008_1eb0bed6d1944db293b00b4a6fa835cd~mv2.webp","Cold Kills 5 million a Year, Life for Relief and Development USA (LIFE)'s Winter Aid Helps Prevent This Tragedy ","112"
"Image","https://www.lifeusa.org/no/categories/life-blog","https://static.wixstatic.com/media/74d008_1eb0bed6d1944db293b00b4a6fa835cd~mv2.jpg/v1/fill/w_333,h_250,fp_0.50_0.50,q_30,blur_30,enc_avif,quality_auto/74d008_1eb0bed6d1944db293b00b4a6fa835cd~mv2.webp","Cold Kills 5 million a Year, Life for Relief and Development USA (LIFE)'s Winter Aid Helps Prevent This Tragedy ","112"
