"Type","Source","Destination","Alt Text","Length","Path Type","Link Path","Link Position","Link Origin","Real Dimensions","Dimensions in Attributes","Display Dimensions"
"Image","https://www.lifeusa.org/","https://static.wixstatic.com/media/6df904_74b4e8dbe01e481a88cfd919b95e94eb~mv2.png/v1/fill/w_147,h_260,q_90,enc_avif,quality_auto/6df904_74b4e8dbe01e481a88cfd919b95e94eb~mv2.png","","0","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474tb']/div[2]/div/div[@id='comp-mmaovhoe']/div/div/div/div/div/div[@class='pro-gallery-parent-container']/div/div/a[@class='item-link-wrapper'][2]/div/div[2]/div/div/picture/img","Content","HTML","","",""
"Image","https://www.lifeusa.org/","https://static.wixstatic.com/media/6df904_0e30dd1ccef144578f2192e6a122b2c8~mv2.png/v1/fill/w_147,h_260,q_90,enc_avif,quality_auto/6df904_0e30dd1ccef144578f2192e6a122b2c8~mv2.png","","0","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474tb']/div[2]/div/div[@id='comp-mmaovhoe']/div/div/div/div/div/div[@class='pro-gallery-parent-container']/div/div/a[@class='item-link-wrapper'][1]/div/div[2]/div/div/picture/img","Content","HTML","","",""
"Image","https://www.lifeusa.org/","https://static.wixstatic.com/media/799a91_a70b7255050642d797ce419a9d597137~mv2.png/v1/fill/w_500,h_500,al_c,q_85,enc_avif,quality_auto/799a91_a70b7255050642d797ce419a9d597137~mv2.png","MercyWithoutLimits","18","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474tb']/div[2]/div/div[@id='comp-jgspvxz7']/div[@class='kOAhFh']/div/div[11]/div/div/div[@class='dKkboU']/wow-image/img","Content","HTML","","",""
"Image","https://www.lifeusa.org/","https://static.wixstatic.com/media/799a91_a70b7255050642d797ce419a9d597137~mv2.png/v1/fill/w_500,h_500,al_c,q_85,enc_avif,quality_auto/799a91_a70b7255050642d797ce419a9d597137~mv2.png","MercyWithoutLimits","18","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474tb']/div[2]/div/div[@id='comp-jgspvxz7']/div[@class='kOAhFh']/div/div[31]/div/div/div[@class='dKkboU']/wow-image/img","Content","HTML","","",""
"Image","https://www.lifeusa.org/about","https://static.wixstatic.com/media/799a91_a70b7255050642d797ce419a9d597137~mv2.png/v1/fill/w_500,h_500,al_c,q_85,enc_avif,quality_auto/799a91_a70b7255050642d797ce419a9d597137~mv2.png","MercyWithoutLimits","18","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474to1']/div[2]/div/section[@id='comp-lerjl8aj']/div[@class='V5AUxf']/div/div[2]/div/div[@id='comp-lerjl94u']/div[@class='kOAhFh']/div/div[3]/div/div/div[@class='dKkboU']/wow-image/img","Content","HTML","","",""
"Image","https://www.lifeusa.org/about","https://static.wixstatic.com/media/799a91_a70b7255050642d797ce419a9d597137~mv2.png/v1/fill/w_500,h_500,al_c,q_85,enc_avif,quality_auto/799a91_a70b7255050642d797ce419a9d597137~mv2.png","MercyWithoutLimits","18","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474to1']/div[2]/div/section[@id='comp-lerjl8aj']/div[@class='V5AUxf']/div/div[2]/div/div[@id='comp-lerjl94u']/div[@class='kOAhFh']/div/div[15]/div/div/div[@class='dKkboU']/wow-image/img","Content","HTML","","",""
"Image","https://www.lifeusa.org/","https://static.wixstatic.com/media/74d008_564ce1225f2d4575bbd6bedbceb421e3~mv2.jpg/v1/fill/w_305,h_229,fp_0.50_0.50,q_90,enc_avif,quality_auto/74d008_564ce1225f2d4575bbd6bedbceb421e3~mv2.webp","The Global Environmental Crisis: Water, Climate, and LIFE’s Impact ","67","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474ta1']/div[2]/div/div[@id='comp-lfcp8bgr']/div/div/div/div/div/div/div/div/div/div/div[@class='pro-gallery-parent-container']/div/div/div[@class='item-link-wrapper'][1]/div/div[2]/div/div/picture[@id='multi_picture_undefined'][2]/img","Content","HTML","","",""
"Image","https://www.lifeusa.org/","https://static.wixstatic.com/media/6df904_1a8d057726e3438c8b4a3f1312f00b60~mv2.png/v1/fill/w_980,h_217,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/6df904_1a8d057726e3438c8b4a3f1312f00b60~mv2.png","","0","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474t9']/div[2]/div/div/div[@class='CKet9C']/div[2]/a/gallery-image-sizer/div/div/wow-image/img","Content","HTML","","",""
"Image","https://www.lifeusa.org/","https://static.wixstatic.com/media/799a91_f17384da44504c0b8193cb9d063c5e36~mv2.png/v1/fill/w_500,h_500,al_c,q_85,enc_avif,quality_auto/799a91_f17384da44504c0b8193cb9d063c5e36~mv2.png","FeedTheChildren","15","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474tb']/div[2]/div/div[@id='comp-jgspvxz7']/div[@class='kOAhFh']/div/div[18]/div/div/div[@class='dKkboU']/wow-image/img","Content","HTML","","",""
"Image","https://www.lifeusa.org/","https://static.wixstatic.com/media/799a91_f17384da44504c0b8193cb9d063c5e36~mv2.png/v1/fill/w_500,h_500,al_c,q_85,enc_avif,quality_auto/799a91_f17384da44504c0b8193cb9d063c5e36~mv2.png","FeedTheChildren","15","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474tb']/div[2]/div/div[@id='comp-jgspvxz7']/div[@class='kOAhFh']/div/div[38]/div/div/div[@class='dKkboU']/wow-image/img","Content","HTML","","",""
"Image","https://www.lifeusa.org/about","https://static.wixstatic.com/media/799a91_f17384da44504c0b8193cb9d063c5e36~mv2.png/v1/fill/w_500,h_500,al_c,q_85,enc_avif,quality_auto/799a91_f17384da44504c0b8193cb9d063c5e36~mv2.png","FeedTheChildren","15","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474to1']/div[2]/div/section[@id='comp-lerjl8aj']/div[@class='V5AUxf']/div/div[2]/div/div[@id='comp-lerjl94u']/div[@class='kOAhFh']/div/div[10]/div/div/div[@class='dKkboU']/wow-image/img","Content","HTML","","",""
"Image","https://www.lifeusa.org/about","https://static.wixstatic.com/media/799a91_f17384da44504c0b8193cb9d063c5e36~mv2.png/v1/fill/w_500,h_500,al_c,q_85,enc_avif,quality_auto/799a91_f17384da44504c0b8193cb9d063c5e36~mv2.png","FeedTheChildren","15","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474to1']/div[2]/div/section[@id='comp-lerjl8aj']/div[@class='V5AUxf']/div/div[2]/div/div[@id='comp-lerjl94u']/div[@class='kOAhFh']/div/div[22]/div/div/div[@class='dKkboU']/wow-image/img","Content","HTML","","",""
"Image","https://www.lifeusa.org/","https://static.wixstatic.com/media/6df904_56bae0daca894748954c5d479a52f0c8~mv2.png/v1/fill/w_980,h_217,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/6df904_56bae0daca894748954c5d479a52f0c8~mv2.png","","0","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474t9']/div[2]/div/div/div[@class='CKet9C']/div[1]/a/gallery-image-sizer/div/div/wow-image/img","Content","HTML","","",""
"Image","https://www.lifeusa.org/","https://static.wixstatic.com/media/6df904_56bae0daca894748954c5d479a52f0c8~mv2.png/v1/fill/w_980,h_217,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/6df904_56bae0daca894748954c5d479a52f0c8~mv2.png","","0","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474t9']/div[2]/div/div/div[@class='OSqXnG']/div/a/gallery-image-sizer/div/div/wow-image/img","Content","HTML","","",""
