"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://www.lifeusa.org/post/afghanistan-s-earthquake-stories-of-survival-and-relief","https://donation.lifeusa.org/product/AFGEQ/afghanistan-earthquake-relief","0","","Heal the Injured","","","false","_blank","nofollow noopener noreferrer","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section/div[2]/div/div/div/div/div/div/div[2]/div[@id='content-wrapper']/div[@class='ZL4A4N']/div[@class='HcBlwg']/div[1]/div/div/article/div/section/div/div/div/div/div/div[@class='BjAB3']/div[40]/div/div/a","Content","HTML"
"Hyperlink","https://www.lifeusa.org/post/afghanistan-s-earthquake-stories-of-survival-and-relief","https://donation.lifeusa.org/product/AFGEQ/afghanistan-earthquake-relief","0","","Guide the Lost","","","false","_blank","nofollow noopener noreferrer","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section/div[2]/div/div/div/div/div/div/div[2]/div[@id='content-wrapper']/div[@class='ZL4A4N']/div[@class='HcBlwg']/div[1]/div/div/article/div/section/div/div/div/div/div/div[@class='BjAB3']/div[70]/div/div/a","Content","HTML"
"Hyperlink","https://www.lifeusa.org/post/afghanistan-s-earthquake-stories-of-survival-and-relief","https://donation.lifeusa.org/product/AFGEQ/afghanistan-earthquake-relief","0","","Feed the Hungry","","","false","_blank","nofollow noopener noreferrer","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section/div[2]/div/div/div/div/div/div/div[2]/div[@id='content-wrapper']/div[@class='ZL4A4N']/div[@class='HcBlwg']/div[1]/div/div/article/div/section/div/div/div/div/div/div[@class='BjAB3']/div[98]/div/div/a","Content","HTML"
"Hyperlink","https://www.lifeusa.org/post/afghanistan-s-earthquake-stories-of-survival-and-relief","https://donation.lifeusa.org/product/AFGEQ/afghanistan-earthquake-relief","0","","Donate Now","","","false","_blank","nofollow noopener noreferrer","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section/div[2]/div/div/div/div/div/div/div[2]/div[@id='content-wrapper']/div[@class='ZL4A4N']/div[@class='HcBlwg']/div[1]/div/div/article/div/section/div/div/div/div/div/div[@class='BjAB3']/div[118]/div/div/a","Content","HTML"
"Hyperlink","https://www.lifeusa.org/post/remembering-judge-frank-caprio-a-judge-who-redefined-leadership-through-compassion","https://donation.lifeusa.org/donation-main?_gl=1*xbmzww*_gcl_au*MTQ0MTUwNjg2MS4xNzQ5ODQzODgw","0","","Donate Now","","","false","_blank","nofollow noopener noreferrer","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section/div[2]/div/div/div/div/div/div/div[2]/div[@id='content-wrapper']/div[@class='ZL4A4N']/div[@class='HcBlwg']/div[1]/div/div/article/div/section/div/div/div/div/div/div[@class='BjAB3']/div[158]/div/div/a","Content","HTML"
"Hyperlink","https://www.lifeusa.org/post/starvation-in-gaza-why-the-world-must-act-now-before-thousands-more-die","https://donation.lifeusa.org/gaza-crisis?_gl=1*1x95an1*_gcl_au*MTQ0MTUwNjg2MS4xNzQ5ODQzODgw","0","","Give the People in Gaza a Chance to Live","","","false","_blank","nofollow noopener noreferrer","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section/div[2]/div/div/div/div/div/div/div[2]/div[@id='content-wrapper']/div[@class='ZL4A4N']/div[@class='HcBlwg']/div[1]/div/div/article/div/section/div/div/div/div/div/div[@class='BjAB3']/div[156]/div/div/a","Content","HTML"
"Hyperlink","https://www.lifeusa.org/post/write-your-will-for-free-and-let-the-good-you-do-today-last-forever","https://www.lifeusa.org/legacy","885380","","Enroll Today","200","OK","false","_blank","nofollow noopener noreferrer","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section/div[2]/div/div/div/div/div/div/div[2]/div[@id='content-wrapper']/div[@class='ZL4A4N']/div[@class='HcBlwg']/div[1]/div/div/article/div/section/div/div/div/div/div/div[@class='BjAB3']/div[131]/div/div/a","Content","HTML"
"Hyperlink","https://www.lifeusa.org/post/double-or-triple-your-donation-without-spending-more-through-life-for-relief-and-development-life","https://donation.lifeusa.org/donation-main?_gl=1*1x2r5ru*_gcl_au*MTgyMDY3MDcxMC4xNzQxOTkxNzU3LjEwODgyNjgxMDkuMTc0NzA3NDUxMi4xNzQ3MDc0NTEy","0","","Donate Now","","","false","_blank","nofollow noopener noreferrer","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section/div[2]/div/div/div/div/div/div/div[2]/div[@id='content-wrapper']/div[@class='ZL4A4N']/div[@class='HcBlwg']/div[1]/div/div/article/div/section/div/div/div/div/div/div[@class='BjAB3']/div[113]/div/div/a","Content","HTML"
"Hyperlink","https://www.lifeusa.org/post/school-supplies-could-be-the-key-to-ending-poverty","https://donation.lifeusa.org/product/BTSC1/back-to-school-campaign?_gl=1*1058ay5*_gcl_au*MTQ0MTUwNjg2MS4xNzQ5ODQzODgw","0","","Donate Now","","","false","_blank","nofollow noopener noreferrer","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section/div[2]/div/div/div/div/div/div/div[2]/div[@id='content-wrapper']/div[@class='ZL4A4N']/div[@class='HcBlwg']/div[1]/div/div/article/div/section/div/div/div/div/div/div[@class='BjAB3']/div[176]/div/div/a","Content","HTML"
"Hyperlink","https://www.lifeusa.org/post/health-for-all-how-life-is-closing-the-global-healthcare-gap","https://donation.lifeusa.org/product/SP40163-HA/health-assistance-campaign?_gl=1*1tr76qf*_gcl_au*Njk2ODk4OTUyLjE3NTc2OTM0NDU","0","","Help Prevent Illness","","","false","_blank","nofollow noopener noreferrer","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section/div[2]/div/div/div/div/div/div/div[2]/div[@id='content-wrapper']/div[@class='ZL4A4N']/div[@class='HcBlwg']/div[1]/div/div/article/div/section/div/div/div/div/div/div[@class='BjAB3']/div[154]/div/div/a","Content","HTML"
