"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://www.lifeusa.org/","https://donate.lifeusa.org/donorportal/udhiyah","189849","","","200","OK","true","_blank","noopener noreferrer","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474t9']/div[2]/div/div/div[@class='CKet9C']/div[1]/a","Content","HTML"
"Hyperlink","https://www.lifeusa.org/","https://www.lifeusa.org/lebanon-emergency-relief","874911","","","200","OK","true","_self","","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474t9']/div[2]/div/div/div[@class='CKet9C']/div[2]/a","Content","HTML"
"Hyperlink","https://www.lifeusa.org/","https://donate.lifeusa.org/donorportal/gaza-relief","188195","","","200","OK","true","_self","noopener noreferrer","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474t9']/div[2]/div/div/div[@class='CKet9C']/div[3]/a","Content","HTML"
"Hyperlink","https://www.lifeusa.org/","https://donate.lifeusa.org/donorportal/udhiyah","189849","","","200","OK","true","_blank","noopener noreferrer","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474t9']/div[2]/div/div/div[@class='OSqXnG']/div/a","Content","HTML"
"Hyperlink","https://www.lifeusa.org/privacy-policy","http://www.lifeusa.org/","0","","","301","Moved Permanently","true","_blank","","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474we']/div[2]/div/div[@id='comp-jhaqz96r']/p[17]/span/span/a[@class='wixui-rich-text__text'][1]","Content","HTML"
"Hyperlink","https://www.lifeusa.org/newsletters","https://www.lifeusa.org/_files/ugd/6df904_9f9c3694c0d844338df533a35a57ef84.pdf","46060499","","","200","OK","true","_blank","","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474x3']/div[2]/div/div/div[1]/div[1]/a","Content","HTML"
"Hyperlink","https://www.lifeusa.org/press","https://www.lifeusa.org/_files/ugd/6df904_f13eaf2545ae43009c3e171743dfe747.pdf","490404","","","200","OK","true","_blank","","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474wo']/div[2]/div/div/div[1]/div[4]/a","Content","HTML"
"Hyperlink","https://www.lifeusa.org/press","https://www.lifeusa.org/_files/ugd/6df904_6486047cd4fe4d589aff8e22b0f14e99.pdf","1739215","","","200","OK","true","_blank","","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474wo']/div[2]/div/div/div[1]/div[5]/a","Content","HTML"
"Hyperlink","https://www.lifeusa.org/press","https://www.lifeusa.org/_files/ugd/6df904_e66c780078bd43c786b3ad629e3bc469.pdf","895517","","","200","OK","true","_blank","","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474wo']/div[2]/div/div/div[1]/div[6]/a","Content","HTML"
"Hyperlink","https://www.lifeusa.org/press","https://www.lifeusa.org/_files/ugd/6df904_76f4bf9a37e14e32bb774a790c321fc6.pdf","907706","","","200","OK","true","_blank","","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474wo']/div[2]/div/div/div[1]/div[7]/a","Content","HTML"
