"Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Indexability","Indexability Status"
"https://www.lifeusa.org/get-involved","1","GET INVOLVED TODAY!","19","147","Indexable",""
"https://www.lifeusa.org/financial-reports","1","Charity Relief in Southfield MI.","32","185","Indexable",""
"https://www.lifeusa.org/board-members","1","BOARD OF DIRECTORS.","19","148","Indexable",""
"https://www.lifeusa.org/lebanon-emergency-relief","1","Charity Relief in Southfield MI.","32","185","Indexable",""
"https://www.lifeusa.org/media","1","Charity Relief in Southfield MI.","32","185","Indexable",""
"https://www.lifeusa.org/waystogive","1","Charity Relief in Southfield MI.","32","185","Indexable",""
"https://www.lifeusa.org/doublethedonation","1","Charity Relief in Southfield MI.","32","185","Indexable",""
"https://www.lifeusa.org/no","1","Charity Relief in Southfield MI.","32","185","Indexable",""
"https://www.lifeusa.org/legacy","1","Charity Relief in Southfield MI.","32","185","Indexable",""
"https://www.lifeusa.org/copy-of-freewill-landing-page","1","Charity Relief in Southfield MI.","32","185","Indexable",""
"https://www.lifeusa.org/ukrainerelief","1","Charity Relief in Southfield MI.","32","185","Indexable",""
"https://www.lifeusa.org/sudan-emergency-relief","1","Charity Relief in Southfield MI.","32","185","Indexable",""
