"Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Indexability","Indexability Status"
"https://www.lifeusa.org/about","1","Life for Relief and Development is a global humanitarian relief and development organization, headquartered in Southfield, Michigan, USA. Life is dedicated to providing humanitarian aid to people regardless of race, gender, religion and cultural background.","257","1568","Indexable",""
"https://www.lifeusa.org/privacy-policy","1","Life for Relief and Development respects the privacy of its supporters. Life has created this Donor Privacy Policy to explain why we collect particular information and how we will protect your personal privacy within our Web site. ","231","1390","Indexable",""
"https://www.lifeusa.org/volunteer","1","LIFE is built on the selfless acts of volunteering and continues to hold its volunteers to the highest esteem. Sign up to volunteer and LIFE will contact you when an event or activity arises in your area.","204","1212","Indexable",""
"https://www.lifeusa.org/careers","1","Graphic Design Intern
​
Life for Relief and Development is looking for a graphic design intern to benefit the organization and boost his academic resume with experience. You will work closely with the graphic design and marketing teams to create materials.","256","1558","Indexable",""
"https://www.lifeusa.org/post/children-forced-to-sleep-in-cars-and-on-the-streets-as-over-800-000-are-displaced-in-lebanon","1","Learn the impact of Lebanon displacement as over 800,000 are forced from their homes. Learn how children cope and how aid is being provided amid Lebanon displacement.","166","1068","Indexable",""
"https://www.lifeusa.org/post/maximize-your-tax-write-off-with-charitable-giving-apps","1","Maximize your tax write-off with smart charitable deductions, tax apps, employer matching, and Giving Tuesday while supporting LIFE’s global humanitarian work.","159","1002","Indexable",""
"https://www.lifeusa.org/winterrelief","1","LIFE’s Winter Relief Project assists displaced and needy families by giving them warm clothing, blankets, heaters, heating oil, and other means of staying warm during the cold winter months. Save a life today by giving a family warmth through our Winter Relief Project.","269","1640","Indexable",""
"https://www.lifeusa.org/post/food-packages-maryland","1","Life for Relief and Development distributed food to 100 families in Maryland. The distribution included staple items for a month supply of food. Food baskets had items such as oil, rice, sugar, pasta, salsa can, bean can, cereal, onion and two chicken. Food baskets were distributed at the Community Center of Potomac.","318","1952","Indexable",""
"https://www.lifeusa.org/post/hearing-aids-colorado","1","Life for Relief and Development’s hearing mission aims help those with hearing disabilities. Life provides hearing aids through a project called “Hearing the Call”. This year in January in Colorado, Life provided aid to 13 patients one of whom was a child. We provided a total of 26 hearing aids.","296","1779","Indexable",""
"https://www.lifeusa.org/post/life-provides-emergency-relief-to-gaza","1","After the eleven days of violence in Gaza, many homes and buildings were destroyed, leaving many people without the ability to provide food for their families. Life supplied baskets with a large number of basic food items to those families in need, including orphans and the disabled. Food baskets were distributed in Khan Yunis Governorate, the Gaza Governorate and the North Gaza Governorate.","394","2437","Indexable",""
"https://www.lifeusa.org/post/back-to-school-project-haiti","1","This year, Life for Relief and Development distributed 450 school kits in Haiti for our back to school project. The kits included school bag, pens, pencils, rubber, glue, sharpener, ruler, copybook, color pencil, pencil case, watercolor and color markers.","255","1507","Indexable",""
"https://www.lifeusa.org/post/food-baskets-in-bangladesh","1","As Ramadan comes to the end this year, Life continues to distribute food baskets with the help of your support. Our recent distribution took place in Bangladesh. The President of Bangladesh’s son and member of parliament, M.D. Rejwan Hossain Towfiq, distributed food baskets to the people of Austagram, Kishoreganj. The second distribution location was in Itna, Kishoreganj. The locations that the distributions took place was in a remote area of Bangladesh that were flooded 6 months ago.","489","3042","Indexable",""
"https://www.lifeusa.org/post/life-distributes-ramadan-food-baskets-in-lebanon","1","The end of Ramadan is around the corner, but Life is continuing to distribute food baskets all over the world. Lebanon, a country undergoing a major economic crisis, is in need of any help that the country can get. Life distributed hundreds of food baskets all over Lebanon, including Saida, South Lebanon, Ekleem al Tefah, South Lebanon and Tripoli in North Lebanon. Inside the food baskets were essential items such as: rice, sugar, beans, chicken, vegetables, onion, garlic and beans.","487","2970","Indexable",""
"https://www.lifeusa.org/post/life-distributes-ramadan-food-baskets-in-haiti","1","As Ramadan is coming to an end, Life is continuing to distribute food baskets all over the world. Recently, Life distributed food baskets to many families in Masjid Iqra and Masjid An-Nour in Port Au Prince, Haiti. Inside the food baskets were: 8 kilos rice, 5 kilo beans, 8 kilo sugar, 2 cans sardine (425 g each), 4 pack macaroni (300 g each), 4 can milk (170g each), 1 litter of oil, 4 cans of tomato paste (210 g each).","423","2521","Indexable",""
"https://www.lifeusa.org/post/winter-blankets-bangladesh","1","Bangladesh has faced more severe realities since COVID-19, leading to many people jobless and have low amount of earning to make ends meet. Life for Relief and Development provided 3200 winter blankets to the Northern area of Bangladesh.","237","1499","Indexable",""
