"Address","Occurrences","Title 1","Title 1 Length","Title 1 Pixel Width","Indexability","Indexability Status"
"https://donate.lifeusa.org/donorportal/project-designations?Program=11WVy000001QlE7MAK","1","Project Designations","20","185","Indexable",""
"https://donate.lifeusa.org/donorportal/project-designations?Program=11WVy000001QlE9MAK","1","Project Designations","20","185","Indexable",""
"https://donate.lifeusa.org/donorportal/project-designations?Program=11WVy000001QlE8MAK","1","Project Designations","20","185","Indexable",""
"https://www.lifeusa.org/doublethedonation","1","Life for Relief and Development - Double the Donation - Matching Gifts","70","626","Indexable",""
"https://www.lifeusa.org/copy-of-freewill-landing-page","1","Life for Relief and Development - Double the Donation - Matching Gifts","70","626","Indexable",""
"https://www.lifeusa.org/annualreports","1","Refugee Assistance Program | Life for Relief and Development","60","557","Indexable",""
"https://www.lifeusa.org/news","1","Refugee Assistance Program | Life for Relief and Development","60","557","Indexable",""
"https://donate.lifeusa.org/donorportal/project-designations?Program=11WVy000001QlE4MAK","1","Project Designations","20","185","Indexable",""
"https://donate.lifeusa.org/donorportal/project-designations?Program=11WVy000001QlE5MAK","1","Project Designations","20","185","Indexable",""
"https://donate.lifeusa.org/donorportal/campaign?UTM_SourceCode=LebanonEmergencyRelief26&CampaignID=701Vy00001Nj9MLIAZ","1","Campaign","8","91","Indexable",""
"https://donate.lifeusa.org/donorportal/campaign?UTM_SourceCode=UkraineEmergencyRelief&CampaignID=701Vy00001QJyCHIA1","1","Campaign","8","91","Indexable",""
"https://www.lifeusa.org/post/life-provides-emergency-relief-to-gaza","1","Life Provides Emergency Relief to Gaza","38","351","Indexable",""
"https://www.lifeusa.org/post/life-provides-emergency-relief-to-gaza-1","1","Life Provides Emergency Relief to Gaza","38","351","Indexable",""
