"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://pub-98940bf3849b4e6c954d79794b23a939.r2.dev/Life-Trouble-Logging-In.pdf","","0","Connection Refused","Non-Indexable","No Response","1","","",""
"https://pub-5ea48cd755a54b908ece1db4f4289576.r2.dev/Ramadan%20Mubarak/Gaza%20Water%20720.png","","0","Connection Refused","Non-Indexable","No Response","0","","",""
"https://pub-5ea48cd755a54b908ece1db4f4289576.r2.dev/Ramadan%20Mubarak/Gaza%20Crisis%20720.png","","0","Connection Refused","Non-Indexable","No Response","0","","",""
"https://pub-5ea48cd755a54b908ece1db4f4289576.r2.dev/Ramadan%20Mubarak/Gaza%20Food%20720.png","","0","Connection Refused","Non-Indexable","No Response","0","","",""
"https://pub-5ea48cd755a54b908ece1db4f4289576.r2.dev/Ramadan%20Mubarak/Gaza%20Medical%20720.png","","0","Connection Refused","Non-Indexable","No Response","0","","",""
"http://llllwww.irs.gov/newsroom/irs-provides-tax-inflation-adjustments-for-tax-year-2024","","0","DNS lookup failed","Non-Indexable","No Response","1","","",""
"https://factor.niehs.nih.gov/2025/2/science-highlights/flooding-health-effects","","0","DNS lookup failed","Non-Indexable","No Response","1","","",""
"https://pub-5ea48cd755a54b908ece1db4f4289576.r2.dev/Ramadan%20Mubarak/Sadaqah%20Jareeah%20Education%20720.png","","0","Connection Refused","Non-Indexable","No Response","0","","",""
"https://pub-5ea48cd755a54b908ece1db4f4289576.r2.dev/Ramadan%20Mubarak/Sadaqah%20Jareeah%20Medical%20Project%20720.png","","0","Connection Refused","Non-Indexable","No Response","0","","",""
"https://pub-5ea48cd755a54b908ece1db4f4289576.r2.dev/Ramadan%20Mubarak/Sadaqah%20Jareeah%20Medical%20Equipment%20720.png","","0","Connection Refused","Non-Indexable","No Response","0","","",""
"https://pub-5ea48cd755a54b908ece1db4f4289576.r2.dev/Ramadan%20Mubarak/Zakat%20Al-Maal%20720.png","","0","Connection Refused","Non-Indexable","No Response","0","","",""
"https://pub-5ea48cd755a54b908ece1db4f4289576.r2.dev/Ramadan%20Mubarak/Fidyah%20720.png","","0","Connection Refused","Non-Indexable","No Response","0","","",""
"https://pub-5ea48cd755a54b908ece1db4f4289576.r2.dev/Ramadan%20Mubarak/Kafarah%20720.png","","0","Connection Refused","Non-Indexable","No Response","0","","",""
"https://pub-5ea48cd755a54b908ece1db4f4289576.r2.dev/gift-designations/ORPHAN%20SPONSORSHIP.jpg","","0","Connection Refused","Non-Indexable","No Response","0","","",""
"https://pub-5ea48cd755a54b908ece1db4f4289576.r2.dev/Ramadan%20Mubarak/Sadaqah%20Jareeah%20Medical%20Crisis%20720.png","","0","Connection Refused","Non-Indexable","No Response","0","","",""
"https://pub-5ea48cd755a54b908ece1db4f4289576.r2.dev/Ramadan%20Mubarak/Sadaqah%20Jareeah%20Clinic%20720.png","","0","Connection Refused","Non-Indexable","No Response","0","","",""
"https://pub-5ea48cd755a54b908ece1db4f4289576.r2.dev/Ramadan%20Mubarak/Family%20Iftar%20720.png","","0","Connection Refused","Non-Indexable","No Response","0","","",""
"https://pub-5ea48cd755a54b908ece1db4f4289576.r2.dev/Ramadan%20Mubarak/Sadaqah%20Jareeah%20General%20720.png","","0","Connection Refused","Non-Indexable","No Response","0","","",""
"https://pub-5ea48cd755a54b908ece1db4f4289576.r2.dev/Ramadan%20Mubarak/Orphan%20Sponsorship%20720.png","","0","Connection Refused","Non-Indexable","No Response","0","","",""
