"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://donate.lifeusa.org/donorportal/login","https://pub-98940bf3849b4e6c954d79794b23a939.r2.dev/Life-Trouble-Logging-In.pdf","0","","Trouble logging in?","0","Connection Refused","true","","","Absolute","//body/webruntime-app/lwr-router-container/webruntime-inner-app/dxp_data_provider-user-data-provider/dxp_data_provider-data-proxy/dxp_data_provider-decision-data-provider/dxp_data_provider-data-proxy/community_byo-scoped-header-and-footer/main/webruntime-router-container/dxp_data_provider-user-data-provider/dxp_data_provider-data-proxy/dxp_data_provider-decision-data-provider/dxp_data_provider-data-proxy/community_layout-slds-flexible-layout/div/community_layout-section/div[3]/community_layout-column/div/dxp_base-button/experience-responsive[2]/div/a","Header","HTML"
"Image","https://donate.lifeusa.org/donorportal/gaza-relief","https://pub-5ea48cd755a54b908ece1db4f4289576.r2.dev/Ramadan%20Mubarak/Gaza%20Water%20720.png","0","GAZA WATER & SANITATION","","0","Connection Refused","true","","","Absolute","//body/webruntime-app/lwr-router-container/webruntime-inner-app/dxp_data_provider-user-data-provider/dxp_data_provider-data-proxy/dxp_data_provider-decision-data-provider/dxp_data_provider-data-proxy/community_byo-scoped-header-and-footer/main/webruntime-router-container/dxp_data_provider-user-data-provider/dxp_data_provider-data-proxy/dxp_data_provider-decision-data-provider/dxp_data_provider-data-proxy/community_layout-slds-flexible-layout/div/community_layout-section/div[3]/community_layout-column/div/c-manual-designations/div/div/div[@class='donation-page-container'][4]/div/div[@class='donation-page-left']/img","Header","HTML"
"Image","https://donate.lifeusa.org/donorportal/gaza-relief","https://pub-5ea48cd755a54b908ece1db4f4289576.r2.dev/Ramadan%20Mubarak/Gaza%20Crisis%20720.png","0","GAZA CRISIS","","0","Connection Refused","true","","","Absolute","//body/webruntime-app/lwr-router-container/webruntime-inner-app/dxp_data_provider-user-data-provider/dxp_data_provider-data-proxy/dxp_data_provider-decision-data-provider/dxp_data_provider-data-proxy/community_byo-scoped-header-and-footer/main/webruntime-router-container/dxp_data_provider-user-data-provider/dxp_data_provider-data-proxy/dxp_data_provider-decision-data-provider/dxp_data_provider-data-proxy/community_layout-slds-flexible-layout/div/community_layout-section/div[3]/community_layout-column/div/c-manual-designations/div/div/div[@class='donation-page-container'][1]/div/div[@class='donation-page-left']/img","Header","HTML"
"Image","https://donate.lifeusa.org/donorportal/seasonal-designations","https://pub-5ea48cd755a54b908ece1db4f4289576.r2.dev/Ramadan%20Mubarak/Gaza%20Crisis%20720.png","0","GAZA CRISIS","","0","Connection Refused","true","","","Absolute","//body/webruntime-app/lwr-router-container/webruntime-inner-app/dxp_data_provider-user-data-provider/dxp_data_provider-data-proxy/dxp_data_provider-decision-data-provider/dxp_data_provider-data-proxy/community_byo-scoped-header-and-footer/main/webruntime-router-container/dxp_data_provider-user-data-provider/dxp_data_provider-data-proxy/dxp_data_provider-decision-data-provider/dxp_data_provider-data-proxy/community_layout-slds-flexible-layout/div/community_layout-section/div[3]/community_layout-column/div/c-seasonal-designations-v-e-r2/div/div[@class='container-wrapper']/div[@class='donation-page-container'][17]/div/div[@class='donation-page-left']/img","Header","HTML"
"Image","https://donate.lifeusa.org/donorportal/gaza-relief","https://pub-5ea48cd755a54b908ece1db4f4289576.r2.dev/Ramadan%20Mubarak/Gaza%20Food%20720.png","0","GAZA FOOD BASKET","","0","Connection Refused","true","","","Absolute","//body/webruntime-app/lwr-router-container/webruntime-inner-app/dxp_data_provider-user-data-provider/dxp_data_provider-data-proxy/dxp_data_provider-decision-data-provider/dxp_data_provider-data-proxy/community_byo-scoped-header-and-footer/main/webruntime-router-container/dxp_data_provider-user-data-provider/dxp_data_provider-data-proxy/dxp_data_provider-decision-data-provider/dxp_data_provider-data-proxy/community_layout-slds-flexible-layout/div/community_layout-section/div[3]/community_layout-column/div/c-manual-designations/div/div/div[@class='donation-page-container'][3]/div/div[@class='donation-page-left']/img","Header","HTML"
"Image","https://donate.lifeusa.org/donorportal/seasonal-designations","https://pub-5ea48cd755a54b908ece1db4f4289576.r2.dev/Ramadan%20Mubarak/Gaza%20Food%20720.png","0","GAZA FOOD BASKET","","0","Connection Refused","true","","","Absolute","//body/webruntime-app/lwr-router-container/webruntime-inner-app/dxp_data_provider-user-data-provider/dxp_data_provider-data-proxy/dxp_data_provider-decision-data-provider/dxp_data_provider-data-proxy/community_byo-scoped-header-and-footer/main/webruntime-router-container/dxp_data_provider-user-data-provider/dxp_data_provider-data-proxy/dxp_data_provider-decision-data-provider/dxp_data_provider-data-proxy/community_layout-slds-flexible-layout/div/community_layout-section/div[3]/community_layout-column/div/c-seasonal-designations-v-e-r2/div/div[@class='container-wrapper']/div[@class='donation-page-container'][18]/div/div[@class='donation-page-left']/img","Header","HTML"
"Image","https://donate.lifeusa.org/donorportal/gaza-relief","https://pub-5ea48cd755a54b908ece1db4f4289576.r2.dev/Ramadan%20Mubarak/Gaza%20Medical%20720.png","0","GAZA MEDICINE & SUPPLIES","","0","Connection Refused","true","","","Absolute","//body/webruntime-app/lwr-router-container/webruntime-inner-app/dxp_data_provider-user-data-provider/dxp_data_provider-data-proxy/dxp_data_provider-decision-data-provider/dxp_data_provider-data-proxy/community_byo-scoped-header-and-footer/main/webruntime-router-container/dxp_data_provider-user-data-provider/dxp_data_provider-data-proxy/dxp_data_provider-decision-data-provider/dxp_data_provider-data-proxy/community_layout-slds-flexible-layout/div/community_layout-section/div[3]/community_layout-column/div/c-manual-designations/div/div/div[@class='donation-page-container'][5]/div/div[@class='donation-page-left']/img","Header","HTML"
"Image","https://donate.lifeusa.org/donorportal/seasonal-designations","https://pub-5ea48cd755a54b908ece1db4f4289576.r2.dev/Ramadan%20Mubarak/Gaza%20Medical%20720.png","0","GAZA MEDICINE & SUPPLIES","","0","Connection Refused","true","","","Absolute","//body/webruntime-app/lwr-router-container/webruntime-inner-app/dxp_data_provider-user-data-provider/dxp_data_provider-data-proxy/dxp_data_provider-decision-data-provider/dxp_data_provider-data-proxy/community_byo-scoped-header-and-footer/main/webruntime-router-container/dxp_data_provider-user-data-provider/dxp_data_provider-data-proxy/dxp_data_provider-decision-data-provider/dxp_data_provider-data-proxy/community_layout-slds-flexible-layout/div/community_layout-section/div[3]/community_layout-column/div/c-seasonal-designations-v-e-r2/div/div[@class='container-wrapper']/div[@class='donation-page-container'][19]/div/div[@class='donation-page-left']/img","Header","HTML"
"Hyperlink","https://www.lifeusa.org/post/give-the-smart-way-stop-paying-taxes-on-stocks-and-receive-a-big-tax-deduction","http://llllwww.irs.gov/newsroom/irs-provides-tax-inflation-adjustments-for-tax-year-2024","0","","llllwww.irs.gov/newsroom/irs-provides-tax-inflation-adjustments-for-tax-year-2024","0","DNS lookup failed","true","_blank","noopener noreferrer","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section/div[2]/div/div/div/div/div/div/div[2]/div[@id='content-wrapper']/div[@class='ZL4A4N']/div[@class='HcBlwg']/div[1]/div/div/article/div/section/div/div/div/div/div/div[@class='BjAB3']/div[252]/ol/li[@class='_0CfII'][1]/p/span/a[2]","Content","HTML"
"Hyperlink","https://www.lifeusa.org/post/when-the-guadalupe-river-roared-texas-tested-with-devastation-and-loss","https://factor.niehs.nih.gov/2025/2/science-highlights/flooding-health-effects","0","","https://factor.niehs.nih.gov/2025/2/science-highlights/flooding-health-effects","0","DNS lookup failed","true","_blank","noopener noreferrer","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section/div[2]/div/div/div/div/div/div/div[2]/div[@id='content-wrapper']/div[@class='ZL4A4N']/div[@class='HcBlwg']/div[1]/div/div/article/div/section/div/div/div/div/div/div[@class='BjAB3']/div[148]/p/span/a","Content","HTML"
"Image","https://donate.lifeusa.org/donorportal/seasonal-designations","https://pub-5ea48cd755a54b908ece1db4f4289576.r2.dev/Ramadan%20Mubarak/Sadaqah%20Jareeah%20Education%20720.png","0","SADAQAH JARIYAH (Ongoing Charity) EDUCATION","","0","Connection Refused","true","","","Absolute","//body/webruntime-app/lwr-router-container/webruntime-inner-app/dxp_data_provider-user-data-provider/dxp_data_provider-data-proxy/dxp_data_provider-decision-data-provider/dxp_data_provider-data-proxy/community_byo-scoped-header-and-footer/main/webruntime-router-container/dxp_data_provider-user-data-provider/dxp_data_provider-data-proxy/dxp_data_provider-decision-data-provider/dxp_data_provider-data-proxy/community_layout-slds-flexible-layout/div/community_layout-section/div[3]/community_layout-column/div/c-seasonal-designations-v-e-r2/div/div[@class='container-wrapper']/div[@class='donation-page-container'][10]/div/div[@class='donation-page-left']/img","Header","HTML"
"Image","https://donate.lifeusa.org/donorportal/seasonal-designations","https://pub-5ea48cd755a54b908ece1db4f4289576.r2.dev/Ramadan%20Mubarak/Sadaqah%20Jareeah%20Medical%20Project%20720.png","0","SADAQAH JARIYAH (Ongoing Charity) MEDICAL","","0","Connection Refused","true","","","Absolute","//body/webruntime-app/lwr-router-container/webruntime-inner-app/dxp_data_provider-user-data-provider/dxp_data_provider-data-proxy/dxp_data_provider-decision-data-provider/dxp_data_provider-data-proxy/community_byo-scoped-header-and-footer/main/webruntime-router-container/dxp_data_provider-user-data-provider/dxp_data_provider-data-proxy/dxp_data_provider-decision-data-provider/dxp_data_provider-data-proxy/community_layout-slds-flexible-layout/div/community_layout-section/div[3]/community_layout-column/div/c-seasonal-designations-v-e-r2/div/div[@class='container-wrapper']/div[@class='donation-page-container'][12]/div/div[@class='donation-page-left']/img","Header","HTML"
"Image","https://donate.lifeusa.org/donorportal/seasonal-designations","https://pub-5ea48cd755a54b908ece1db4f4289576.r2.dev/Ramadan%20Mubarak/Sadaqah%20Jareeah%20Medical%20Equipment%20720.png","0","SADAQAH JARIYAH (Ongoing Charity) MEDICAL EQUIPMENTS","","0","Connection Refused","true","","","Absolute","//body/webruntime-app/lwr-router-container/webruntime-inner-app/dxp_data_provider-user-data-provider/dxp_data_provider-data-proxy/dxp_data_provider-decision-data-provider/dxp_data_provider-data-proxy/community_byo-scoped-header-and-footer/main/webruntime-router-container/dxp_data_provider-user-data-provider/dxp_data_provider-data-proxy/dxp_data_provider-decision-data-provider/dxp_data_provider-data-proxy/community_layout-slds-flexible-layout/div/community_layout-section/div[3]/community_layout-column/div/c-seasonal-designations-v-e-r2/div/div[@class='container-wrapper']/div[@class='donation-page-container'][13]/div/div[@class='donation-page-left']/img","Header","HTML"
"Image","https://donate.lifeusa.org/donorportal/seasonal-designations","https://pub-5ea48cd755a54b908ece1db4f4289576.r2.dev/Ramadan%20Mubarak/Zakat%20Al-Maal%20720.png","0","ZAKAT AL-MAL (Annual Obligatory Charity)","","0","Connection Refused","true","","","Absolute","//body/webruntime-app/lwr-router-container/webruntime-inner-app/dxp_data_provider-user-data-provider/dxp_data_provider-data-proxy/dxp_data_provider-decision-data-provider/dxp_data_provider-data-proxy/community_byo-scoped-header-and-footer/main/webruntime-router-container/dxp_data_provider-user-data-provider/dxp_data_provider-data-proxy/dxp_data_provider-decision-data-provider/dxp_data_provider-data-proxy/community_layout-slds-flexible-layout/div/community_layout-section/div[3]/community_layout-column/div/c-seasonal-designations-v-e-r2/div/div[@class='container-wrapper']/div[@class='donation-page-container'][2]/div/div[@class='donation-page-left']/img","Header","HTML"
"Image","https://donate.lifeusa.org/donorportal/seasonal-designations","https://pub-5ea48cd755a54b908ece1db4f4289576.r2.dev/Ramadan%20Mubarak/Fidyah%20720.png","0","FIDYAH (Charity for Excused Missed Fasts)","","0","Connection Refused","true","","","Absolute","//body/webruntime-app/lwr-router-container/webruntime-inner-app/dxp_data_provider-user-data-provider/dxp_data_provider-data-proxy/dxp_data_provider-decision-data-provider/dxp_data_provider-data-proxy/community_byo-scoped-header-and-footer/main/webruntime-router-container/dxp_data_provider-user-data-provider/dxp_data_provider-data-proxy/dxp_data_provider-decision-data-provider/dxp_data_provider-data-proxy/community_layout-slds-flexible-layout/div/community_layout-section/div[3]/community_layout-column/div/c-seasonal-designations-v-e-r2/div/div[@class='container-wrapper']/div[@class='donation-page-container'][5]/div/div[@class='donation-page-left']/img","Header","HTML"
