"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://www.lifeusa.org/privacy-policy","http://www.lifeusa.org/","0","","","301","Moved Permanently","true","_blank","","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474we']/div[2]/div/div[@id='comp-jhaqz96r']/p[17]/span/span/a[@class='wixui-rich-text__text'][1]","Content","HTML"
"Hyperlink","https://www.lifeusa.org/privacy-policy","http://www.lifeusa.org/","0","","http://www.lifeusa.org/","301","Moved Permanently","true","_blank","","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section[@id='comp-lwf474we']/div[2]/div/div[@id='comp-jhaqz96r']/p[17]/span/span/a[@class='wixui-rich-text__text'][2]","Content","HTML"
"PDF","https://www.lifeusa.org/_files/ugd/6df904_7fbabf427ae34683a608c7f617b5d4d0.pdf","http://lifeusa.org/","0","","","301","Moved Permanently","true","","","","Page 1","","PDF"
"PDF","https://www.lifeusa.org/_files/ugd/6df904_3dfee7544a3e45c6a18151355679d69b.pdf","http://lifeusa.org/","0","","","301","Moved Permanently","true","","","","Page 3","","PDF"
"PDF","https://www.lifeusa.org/_files/ugd/6df904_fdbf1a16338846c4a02c1ddf431f5279.pdf","http://lifeusa.org/","0","","","301","Moved Permanently","true","","","","Page 1","","PDF"
"PDF","https://www.lifeusa.org/_files/ugd/6df904_535e4547bf0545a2a9162f12a3b73a98.pdf","http://lifeusa.org/","0","","","301","Moved Permanently","true","","","","Page 1","","PDF"
"PDF","https://www.lifeusa.org/_files/ugd/6df904_535e4547bf0545a2a9162f12a3b73a98.pdf","http://lifeusa.org/","0","","","301","Moved Permanently","true","","","","Page 1","","PDF"
"PDF","https://www.lifeusa.org/_files/ugd/6df904_6486047cd4fe4d589aff8e22b0f14e99.pdf","http://lifeusa.org/","0","","","301","Moved Permanently","true","","","","Page 1","","PDF"
"PDF","https://www.lifeusa.org/_files/ugd/6df904_f13eaf2545ae43009c3e171743dfe747.pdf","http://lifeusa.org/","0","","","301","Moved Permanently","true","","","","Page 1","","PDF"
"PDF","https://www.lifeusa.org/_files/ugd/6df904_f974ecb3149c4e8cb13dbc8ed447a49a.pdf","http://lifeusa.org/","0","","","301","Moved Permanently","true","","","","Page 1","","PDF"
"PDF","https://www.lifeusa.org/_files/ugd/6df904_1ddc755082ef49bb909f2aa7dbf9a1c1.pdf","http://lifeusa.org/","0","","","301","Moved Permanently","true","","","","Page 1","","PDF"
"PDF","https://www.lifeusa.org/_files/ugd/6df904_1ddc755082ef49bb909f2aa7dbf9a1c1.pdf","http://lifeusa.org/","0","","","301","Moved Permanently","true","","","","Page 1","","PDF"
"PDF","https://www.lifeusa.org/_files/ugd/6df904_7b1019b4e72d4da39acec3132eb89454.pdf","http://lifeusa.org/","0","","","301","Moved Permanently","true","","","","Page 3","","PDF"
"PDF","https://www.lifeusa.org/_files/ugd/6df904_7b1019b4e72d4da39acec3132eb89454.pdf","http://lifeusa.org/","0","","","301","Moved Permanently","true","","","","Page 3","","PDF"
"PDF","https://www.lifeusa.org/_files/ugd/6df904_e2671b6a5cfa4bd0a35bcb61e28353aa.pdf","http://lifeusa.org/","0","","","301","Moved Permanently","true","","","","Page 1","","PDF"
"PDF","https://www.lifeusa.org/_files/ugd/6df904_a136a878af8a4d46ace9b06e3416685b.pdf","http://lifeusa.org/","0","","","301","Moved Permanently","true","","","","Page 1","","PDF"
"PDF","https://www.lifeusa.org/_files/ugd/6df904_a136a878af8a4d46ace9b06e3416685b.pdf","http://lifeusa.org/","0","","","301","Moved Permanently","true","","","","Page 1","","PDF"
"PDF","https://www.lifeusa.org/_files/ugd/6df904_e66c780078bd43c786b3ad629e3bc469.pdf","http://lifeusa.org/","0","","","301","Moved Permanently","true","","","","Page 1","","PDF"
"PDF","https://www.lifeusa.org/_files/ugd/6df904_e66c780078bd43c786b3ad629e3bc469.pdf","http://lifeusa.org/","0","","","301","Moved Permanently","true","","","","Page 1","","PDF"
"PDF","https://www.lifeusa.org/_files/ugd/6df904_edf6e91aa73d4e45a6e7649e0395de0b.pdf","http://lifeusa.org/","0","","","301","Moved Permanently","true","","","","Page 1","","PDF"
"PDF","https://www.lifeusa.org/_files/ugd/6df904_edf6e91aa73d4e45a6e7649e0395de0b.pdf","http://lifeusa.org/","0","","","301","Moved Permanently","true","","","","Page 2","","PDF"
"PDF","https://www.lifeusa.org/_files/ugd/6df904_dd53ebe83bc34c9d9b90dfd62e069406.pdf","http://lifeusa.org/","0","","","301","Moved Permanently","true","","","","Page 1","","PDF"
"PDF","https://www.lifeusa.org/_files/ugd/6df904_6e2ea6112dcf4907b3cafee15ed9802e.pdf","http://lifeusa.org/","0","","","301","Moved Permanently","true","","","","Page 1","","PDF"
"PDF","https://www.lifeusa.org/_files/ugd/6df904_6e2ea6112dcf4907b3cafee15ed9802e.pdf","http://lifeusa.org/","0","","","301","Moved Permanently","true","","","","Page 1","","PDF"
"PDF","https://www.lifeusa.org/_files/ugd/6df904_76f4bf9a37e14e32bb774a790c321fc6.pdf","http://lifeusa.org/","0","","","301","Moved Permanently","true","","","","Page 1","","PDF"
"PDF","https://www.lifeusa.org/_files/ugd/6df904_a85aa809193545108cdc16535b6493b9.pdf","http://lifeusa.org/","0","","","301","Moved Permanently","true","","","","Page 1","","PDF"
"PDF","https://www.lifeusa.org/_files/ugd/6df904_a85aa809193545108cdc16535b6493b9.pdf","http://lifeusa.org/","0","","","301","Moved Permanently","true","","","","Page 1","","PDF"
"PDF","https://www.lifeusa.org/_files/ugd/6df904_8dafc192b5aa4cb6a7ed1b63336c3078.pdf","http://lifeusa.org/","0","","","301","Moved Permanently","true","","","","Page 1","","PDF"
"PDF","https://www.lifeusa.org/_files/ugd/6df904_8dafc192b5aa4cb6a7ed1b63336c3078.pdf","http://lifeusa.org/","0","","","301","Moved Permanently","true","","","","Page 1","","PDF"
"PDF","https://www.lifeusa.org/_files/ugd/6df904_8dafc192b5aa4cb6a7ed1b63336c3078.pdf","http://lifeusa.org/","0","","","301","Moved Permanently","true","","","","Page 2","","PDF"
"Hyperlink","https://www.lifeusa.org/post/let-them-play-life-gives-every-child-a-chance-to-be-a-child-at-the-global-orphan-eid-parties","http://lifeusa.org/orphans","146","","Donate Now","404","Not Found","true","_blank","noopener noreferrer","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section/div[2]/div/div/div/div/div/div/div[2]/div[@id='content-wrapper']/div[@class='ZL4A4N']/div[@class='HcBlwg']/div[1]/div/div/article/div/section/div/div/div/div/div/div[@class='BjAB3']/div[82]/p/span/a","Content","HTML"
"Hyperlink","https://www.lifeusa.org/post/life-promotes-integrative-healthcare-for-rohingya-refugees-with-the-launch-of-vital-eye-care-clinic","http://lifeusa.org/refugee","146","","Refugee Program","404","Not Found","true","_blank","noopener noreferrer","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section/div[2]/div/div/div/div/div/div/div[2]/div[@id='content-wrapper']/div[@class='ZL4A4N']/div[@class='HcBlwg']/div[1]/div/div/article/div/section/div/div/div/div/div/div[@class='BjAB3']/div[89]/p/span/a","Content","HTML"
"Hyperlink","https://www.lifeusa.org/post/discovering-ramadan-2024-fasting-charity-and-spiritual-nourishment","http://lifeusa.org/ramadan","146","","Donate Now","404","Not Found","true","_blank","noopener noreferrer","Absolute","//body/div/div/div[@id='site-root']/div/main/div/div/div/div[@class='HT5ybB']/div/div/div/section/div[2]/div/div/div/div/div/div/div[2]/div[@id='content-wrapper']/div[@class='ZL4A4N']/div[@class='HcBlwg']/div[1]/div/div/article/div/section/div/div/div/div/div/div[@class='BjAB3']/div[184]/p/span/a","Content","HTML"
